Name,Age,Nationality,Position,Old_Club,New_Club,Fee,Minutes_This_Season,Minutes_Last_season,Standing_Last_Season,Standing_This_Season,Passes,Assists,Goals,Yellow_Card,Red_Card,Kg,Height,Remaining contract,Titles
Óscar Cortés,19,Colombia,Left Winger,Millonarios FC,RC Lens,€4.50m,0,44,7,0,18,1,1,0,0,76,178,23,2
Morgan Guilavogui,25,Guinea France,Right Winger,Paris FC,RC Lens,€4.00m,1807,566,7,14,222,0,2,1,0,82,189,12,0
Renan Lodi,25,Brazil Italy,Left-Back,Atlético de Madrid,Olympique Marseille,€20.60m,0,0,8,0,0,0,0,0,0,68,173,35,6
Iliman Ndiaye,23,Senegal France,Left Winger,Sheffield United,Olympique Marseille,€17.00m,2430,2476,8,2,465,5,4,1,0,70,180,11,0
Ismaïla Sarr,25,Senegal,Right Winger,Watford FC,Olympique Marseille,€13.00m,2711,1447,8,12,366,3,3,2,0,76,185,undefined,1
Ruslan Malinovskyi,30,Ukraine,Attacking Midfield,Atalanta BC,Olympique Marseille,€10.00m,382,1544,8,0,573,1,4,6,0,79,181,29,1
Geoffrey Kondogbia,30,Central African Republic France,Defensive Midfield,Atlético de Madrid,Olympique Marseille,€8.00m,2020,1463,8,2,1119,0,0,3,2,80,188,12,4
Folarin Balogun,22,United States England,Centre-Forward,Arsenal FC,AS Monaco,€30.00m,0,1943,2,0,199,7,8,1,0,66,178,22,2
Denis Zakaria,26,Switzerland DR Congo,Defensive Midfield,Juventus FC,AS Monaco,€20.00m,2852,2383,2,4,0,1,4,2,0,76,191,34.5,undefined
Mohammed Salisu,24,Ghana,Centre-Back,Southampton FC,AS Monaco,€15.00m,1023,1035,2,1,657,0,1,1,0,81.6,191,10.9,undefined
Wilfried Singo,22,Cote d'Ivoire,Centre-Back,Torino FC,AS Monaco,€9.10m,2096,2187,2,3,1282,1,1,8,1,78,190,10.4,1
Enzo Le Fée,23,France,Central Midfield,FC Lorient,Stade Rennais FC,€20.00m,318,1527,4,5,0,1,0,3,0,66,173,11.8,1
Ludovic Blas,25,France Martinique,Right Winger,FC Nantes,Stade Rennais FC,€15.00m,2301,2153,5,0,0,1,7,5,0,77,180,11.8,1
Fabian Rieder,21,Switzerland,Attacking Midfield,BSC Young Boys,Stade Rennais FC,€15.00m,867,1033,10,0,0,2,4,1,0,74,179,22,5
Hákon Arnar Haraldsson,20,Iceland,Attacking Midfield,FC Copenhagen,LOSC Lille,€15.00m,2881,2214,4,0,0,5,5,7,0,73,180,35,4
Tiago Santos,20,Portugal,Right-Back,GD Estoril Praia,LOSC Lille,€6.50m,116,348,4,0,0,3,1,7,0,71,175,23.9,1
